,pickup_zone,drop_zone
1530,Hunts Point,Central Harlem North
1531,Boerum Hill,Ocean Hill
1535,Clinton Hill,Kips Bay
1537,East Harlem South,Woodlawn/Wakefield
1538,East Harlem South,West Chelsea/Hudson Yards
1544,Brooklyn Navy Yard,Crown Heights North
1549,Bedford,Crown Heights North
1551,Brooklyn Heights,JFK Airport
1558,East Harlem South,City Island
1561,East Harlem South,East Concourse/Concourse Village
1569,Inwood,Washington Heights North
1584,Hamilton Heights,Newark Airport
1586,Elmhurst,Baisley Park
1587,Boerum Hill,East New York
1588,Carroll Gardens,Flatiron
1589,Washington Heights South,Manhattanville
1590,Forest Hills,UN/Turtle Bay South
1591,Central Harlem North,Washington Heights South
1598,North Corona,Flushing
1600,East Harlem South,Flatiron
1604,North Corona,Murray Hill-Queens
1607,Downtown Brooklyn/MetroTech,East Williamsburg
1613,East Harlem North,Woodlawn/Wakefield
1620,Brooklyn Heights,Prospect Heights
1621,Brooklyn Heights,Lenox Hill East
1622,Norwood,Spuyten Duyvil/Kingsbridge
1623,East Harlem North,Steinway
1625,Brooklyn Heights,Upper East Side North
1631,Steinway,Astoria
1632,Fort Greene,East Village
1636,Belmont,Mount Hope
1638,Fort Greene,Bushwick North
1639,Downtown Brooklyn/MetroTech,Times Sq/Theatre District
1656,Downtown Brooklyn/MetroTech,Bedford
1666,Central Harlem North,University Heights/Morris Heights
1669,Kew Gardens,Steinway
1672,Melrose South,Westchester Village/Unionport
1674,Maspeth,Elmhurst/Maspeth
1675,Park Slope,Stuyvesant Heights
1677,Jamaica,Kew Gardens
1682,Jackson Heights,Bushwick South
1683,Central Park,Greenwich Village South
1690,Elmhurst,Kew Gardens
1692,Manhattanville,Hamilton Heights
1697,Queensboro Hill,Downtown Brooklyn/MetroTech
1699,East Harlem North,Clinton East
1701,East Harlem South,Van Cortlandt Village
1702,Clinton Hill,Bedford
1707,DUMBO/Vinegar Hill,East Chelsea
1709,East Harlem South,Upper East Side South
1713,Park Slope,Carroll Gardens
1715,Fort Greene,Windsor Terrace
1716,Glendale,JFK Airport
1717,Canarsie,Canarsie
1723,Fort Greene,Crown Heights South
1726,Brooklyn Heights,Downtown Brooklyn/MetroTech
1727,Long Island City/Queens Plaza,Astoria
1732,East Harlem North,Astoria
1734,Forest Hills,Crown Heights North
1738,Kew Gardens,Kew Gardens Hills
1739,Greenpoint,Williamsburg (North Side)
1740,Queensboro Hill,JFK Airport
1742,Elmhurst,Williamsburg (South Side)
1743,DUMBO/Vinegar Hill,Gowanus
1744,Gowanus,Downtown Brooklyn/MetroTech
1746,Fort Greene,Dyker Heights
1754,Central Harlem North,Kingsbridge Heights
1755,Astoria,JFK Airport
1761,Sunnyside,Forest Hills
1767,Fort Greene,Penn Station/Madison Sq West
1771,Rego Park,Sunnyside
1775,Ocean Hill,Erasmus
1778,Soundview/Castle Hill,Parkchester
1784,Upper East Side North,Upper West Side North
1798,DUMBO/Vinegar Hill,Upper East Side North
1800,Rego Park,Rego Park
1805,Morningside Heights,Yorkville West
1811,Central Harlem,West Village
1815,Washington Heights South,West Chelsea/Hudson Yards
1823,Steinway,LaGuardia Airport
1828,Kew Gardens,Maspeth
1833,Queensboro Hill,Astoria
1836,Soundview/Castle Hill,Hunts Point
1837,Norwood,Woodlawn/Wakefield
1843,Morningside Heights,East Harlem South
1845,DUMBO/Vinegar Hill,Clinton Hill
1846,DUMBO/Vinegar Hill,Astoria
1851,East Harlem North,West Farms/Bronx River
1854,Steinway,Manhattanville
1856,Forest Hills,LaGuardia Airport
1867,Downtown Brooklyn/MetroTech,Prospect-Lefferts Gardens
1868,Crotona Park East,Kingsbridge Heights
1870,Clinton Hill,Clinton Hill
1876,Cobble Hill,Boerum Hill
1878,Downtown Brooklyn/MetroTech,Bay Ridge
1881,East Harlem North,University Heights/Morris Heights
1886,Central Harlem North,Manhattanville
1892,Forest Hills,Jackson Heights
1903,East Concourse/Concourse Village,Co-Op City
1904,Astoria,Upper East Side South
1905,Elmhurst,Pelham Parkway
1907,Elmhurst,Ridgewood
1911,Rego Park,Briarwood/Jamaica Hills
1914,East Harlem North,Williamsbridge/Olinville
1915,DUMBO/Vinegar Hill,LaGuardia Airport
1924,Flushing,Elmhurst/Maspeth
1926,DUMBO/Vinegar Hill,Greenwich Village South
1927,Boerum Hill,Clinton Hill
1941,Astoria,Union Sq
1942,Manhattanville,Manhattanville
1946,DUMBO/Vinegar Hill,Brooklyn Heights
1947,DUMBO/Vinegar Hill,Garment District
1948,DUMBO/Vinegar Hill,Midtown South
1953,Williamsburg (South Side),Bushwick North
1957,East Harlem South,Murray Hill
1973,Park Slope,Alphabet City
1975,Elmhurst/Maspeth,Corona
1979,East Harlem South,Seaport
1982,Woodside,North Corona
1989,Brooklyn Heights,Boerum Hill
1991,Boerum Hill,Williamsburg (South Side)
1996,Elmhurst/Maspeth,Roosevelt Island
2011,Morningside Heights,Upper East Side North
2013,Jamaica,LaGuardia Airport
2015,Fort Greene,Clinton East
2017,Rego Park,North Corona
2019,Downtown Brooklyn/MetroTech,East Village
2033,Boerum Hill,East Flatbush/Farragut
2035,Downtown Brooklyn/MetroTech,Midwood
2038,West Concourse,Hamilton Heights
2039,Central Harlem North,Garment District
2040,Washington Heights South,Lenox Hill East
2041,Westchester Village/Unionport,Van Cortlandt Village
2047,Washington Heights North,East Harlem North
2048,Central Park,Washington Heights North
2051,Sunset Park West,Stuy Town/Peter Cooper Village
2055,DUMBO/Vinegar Hill,Financial District North
2056,Boerum Hill,Downtown Brooklyn/MetroTech
2057,East Harlem South,UN/Turtle Bay South
2067,Fort Greene,Williamsburg (South Side)
2070,Washington Heights South,Lenox Hill West
2078,Elmhurst,Briarwood/Jamaica Hills
2089,Morningside Heights,Upper East Side South
2098,Astoria,Kips Bay
2105,Auburndale,Forest Hills
2106,Flushing Meadows-Corona Park,Forest Hills
2111,Downtown Brooklyn/MetroTech,Two Bridges/Seward Park
2114,Steinway,South Ozone Park
2120,Jamaica,Financial District South
2121,Old Astoria,Queensbridge/Ravenswood
2122,East Harlem South,Clinton East
2123,Long Island City/Hunters Point,Jamaica
2125,Flushing,College Point
2129,Washington Heights South,Pelham Parkway
2130,Old Astoria,Astoria
2131,Steinway,Middle Village
2137,Forest Hills,Flushing Meadows-Corona Park
2139,DUMBO/Vinegar Hill,Fort Greene
2140,Crown Heights North,Prospect-Lefferts Gardens
2143,Jamaica,Meatpacking/West Village West
2152,Fort Greene,Red Hook
2163,Crotona Park East,East Harlem South
2166,East Harlem North,Melrose South
2171,East Harlem North,Boerum Hill
2176,East Harlem South,Washington Heights South
2177,Fort Greene,Bensonhurst East
2178,Washington Heights South,Upper West Side South
2179,Inwood,East Concourse/Concourse Village
2185,East Harlem North,Flushing
2190,East Harlem South,Bushwick South
2199,Astoria,Long Island City/Hunters Point
2202,DUMBO/Vinegar Hill,Flatbush/Ditmas Park
2203,DUMBO/Vinegar Hill,Midtown East
2205,Williamsburg (South Side),Park Slope
2223,Jamaica,JFK Airport
2225,Jamaica,Hollis
2227,Dyker Heights,Dyker Heights
2228,West Concourse,Pelham Parkway
2229,Forest Hills,South Ozone Park
2235,South Ozone Park,South Ozone Park
2243,Cypress Hills,East New York
2246,DUMBO/Vinegar Hill,Baisley Park
2249,Williamsburg (South Side),Yorkville West
2253,Fort Greene,Carroll Gardens
2256,Elmhurst,Manhattan Valley
2257,Erasmus,Prospect-Lefferts Gardens
2259,Williamsburg (North Side),Bedford
2267,Flushing,Old Astoria
2274,Bedford Park,Belmont
2275,Norwood,Belmont
2276,Jamaica,Briarwood/Jamaica Hills
2277,Jamaica,Rosedale
2281,Williamsburg (North Side),Upper East Side North
2286,Morrisania/Melrose,East Concourse/Concourse Village
2287,Elmhurst/Maspeth,Maspeth
2290,Hamilton Heights,East Tremont
2291,Belmont,Belmont
2292,Bushwick South,East Williamsburg
2293,Kew Gardens,Richmond Hill
2294,Brooklyn Heights,Yorkville East
2295,Woodhaven,Woodhaven
2302,Forest Hills,Flushing
2305,Woodhaven,Elmhurst
2306,Flushing,East Flushing
2308,Central Harlem North,Steinway
2309,East Tremont,Soundview/Bruckner
2312,East Williamsburg,Steinway
2325,Steinway,Forest Hills
2333,Park Slope,Erasmus
2334,Jackson Heights,Sutton Place/Turtle Bay North
2337,Bedford,Fort Greene
2338,College Point,Woodside
2342,Corona,Sunnyside
2345,Steinway,Richmond Hill
2346,Flushing Meadows-Corona Park,Jackson Heights
2348,Jackson Heights,Garment District
2350,Kew Gardens,JFK Airport
2351,Jackson Heights,Hillcrest/Pomonok
2359,Upper East Side North,Upper East Side North
2368,Crotona Park East,Van Nest/Morris Park
2372,Manhattanville,Clinton East
2380,Manhattanville,Kips Bay
2381,Astoria,Midtown East
2385,Washington Heights North,Manhattanville
2405,Central Park,Garment District
2407,Washington Heights South,Highbridge
2412,Queensbridge/Ravenswood,Queensbridge/Ravenswood
2413,East Harlem South,Melrose South
2414,Forest Hills,Elmhurst/Maspeth
2417,Washington Heights South,Yorkville West
2422,Hamilton Heights,East Harlem North
2424,East Elmhurst,Sunnyside
2425,Longwood,East Harlem North
2427,East Flatbush/Remsen Village,Bensonhurst West
2429,Astoria,Elmhurst
2430,Flatbush/Ditmas Park,Sunset Park West
2431,Belmont,Bedford Park
2436,Forest Hills,Bay Ridge
2444,Morningside Heights,Clinton West
2456,Manhattanville,Midtown North
2460,Downtown Brooklyn/MetroTech,Sunset Park East
2466,Hamilton Heights,East Concourse/Concourse Village
2468,Manhattanville,Clinton West
2471,Carroll Gardens,Brooklyn Heights
2473,Morningside Heights,Bloomingdale
2477,Morningside Heights,Midtown Center
2480,Manhattanville,Washington Heights South
2499,Ridgewood,Midtown South
2509,Forest Hills,Downtown Brooklyn/MetroTech
2511,Central Harlem,Melrose South
2512,Brooklyn Heights,Upper East Side South
2521,Queensbridge/Ravenswood,Ridgewood
2523,Central Park,Lincoln Square East
2526,Central Harlem North,Stuy Town/Peter Cooper Village
2533,Brooklyn Heights,West Chelsea/Hudson Yards
2540,Bedford,Financial District South
2545,Hamilton Heights,Sutton Place/Turtle Bay North
2546,Astoria,UN/Turtle Bay South
2548,Woodside,Lincoln Square West
2551,Clinton Hill,Chinatown
2552,East Harlem North,Randalls Island
2556,Fort Greene,TriBeCa/Civic Center
2558,Fort Greene,Sunset Park East
2567,East Harlem South,Clinton West
2571,Forest Hills,Forest Park/Highland Park
2574,Morningside Heights,Midtown East
2587,Central Harlem,Yorkville East
2589,Queensbridge/Ravenswood,East Harlem South
2594,Middle Village,Elmhurst/Maspeth
2595,Hamilton Heights,Yorkville West
2598,Washington Heights South,Van Cortlandt Village
2608,Washington Heights South,Lincoln Square West
2610,East Harlem North,Lower East Side
2624,Downtown Brooklyn/MetroTech,Financial District North
2631,Manhattanville,Bloomingdale
2633,Manhattanville,Central Harlem North
2634,Steinway,Flushing
2640,Central Harlem North,East Village
2641,Crown Heights South,Bedford
2654,Central Harlem North,Lenox Hill West
2661,East Harlem South,Steinway
2666,Morningside Heights,Upper West Side North
2667,Morningside Heights,East Village
2670,Woodside,Upper East Side North
2675,DUMBO/Vinegar Hill,Chinatown
2677,Middle Village,Middle Village
2688,Bloomingdale,Clinton West
2689,Central Harlem North,Upper East Side North
2692,East Flatbush/Remsen Village,Stuyvesant Heights
2698,Bedford Park,Bronxdale
2699,Long Island City/Hunters Point,Long Island City/Hunters Point
2702,Crown Heights North,Crown Heights South
2706,Cobble Hill,Red Hook
2713,East Harlem South,Highbridge
2726,Bloomingdale,Central Harlem North
2730,East Harlem South,Gramercy
2732,North Corona,Maspeth
2733,Central Harlem North,Claremont/Bathgate
2737,Hamilton Heights,Manhattanville
2744,Central Park,Flatiron
2745,Mount Hope,Woodlawn/Wakefield
2746,Manhattanville,Midtown East
2749,Queensbridge/Ravenswood,Long Island City/Hunters Point
2750,Cobble Hill,Brooklyn Heights
2752,Steinway,Yorkville West
2755,Long Island City/Hunters Point,Woodside
2757,Richmond Hill,Kew Gardens
2765,East Harlem South,Lower East Side
2770,Hamilton Heights,Lincoln Square East
2775,East Harlem South,Flatlands
2780,Queens Village,Bellerose
2781,Hillcrest/Pomonok,South Ozone Park
2782,Central Harlem,SoHo
2802,Coney Island,Bensonhurst East
2803,Park Slope,Borough Park
2811,Central Park,Morningside Heights
2815,Central Harlem North,Inwood
2816,Washington Heights South,Clinton East
2817,East Concourse/Concourse Village,Claremont/Bathgate
2822,Downtown Brooklyn/MetroTech,Brooklyn Navy Yard
2830,Yorkville West,Central Harlem
2832,Downtown Brooklyn/MetroTech,Red Hook
2833,Cobble Hill,Gowanus
2837,East Harlem North,West Concourse
2842,Central Harlem North,West Farms/Bronx River
2843,East Harlem South,East Chelsea
2850,Central Harlem,Murray Hill
2858,Old Astoria,Upper East Side South
2861,Manhattanville,Yorkville East
2863,West Farms/Bronx River,West Farms/Bronx River
2867,Washington Heights South,Borough Park
2875,Soundview/Bruckner,Van Nest/Morris Park
2879,Brooklyn Heights,Sunset Park East
2883,Astoria,Jamaica Estates
2888,Woodside,Old Astoria
2906,Kew Gardens,Kips Bay
2908,Downtown Brooklyn/MetroTech,Elmhurst
2918,East Harlem South,Queensbridge/Ravenswood
2919,Brooklyn Heights,SoHo
2928,East Harlem South,Bedford
2932,Fort Greene,Roosevelt Island
2935,East Harlem North,Midtown South
2938,East Harlem South,Midtown North
2944,Manhattanville,East Concourse/Concourse Village
2955,East New York,East Flatbush/Farragut
2956,Central Park,Upper West Side South
2957,Williamsburg (North Side),Flatbush/Ditmas Park
2960,Cobble Hill,East Flatbush/Remsen Village
2961,Elmhurst,Glendale
2967,Park Slope,East Harlem South
2971,Rego Park,Schuylerville/Edgewater Park
2978,Brooklyn Heights,Greenwich Village South
2985,Central Harlem,Westchester Village/Unionport
2987,Elmhurst,Astoria Park
2991,Hamilton Heights,Central Park
2996,Central Park,Central Harlem
2999,Sunnyside,Yorkville West
3007,Washington Heights South,Crotona Park East
3010,Forest Hills,Murray Hill
3023,Astoria,East New York
3032,North Corona,Rego Park
3037,Co-Op City,Co-Op City
3045,Manhattanville,West Concourse
3050,Brooklyn Heights,Fort Greene
3054,Washington Heights South,West Concourse
3063,Brooklyn Heights,Midtown South
3070,Boerum Hill,Red Hook
3071,Washington Heights South,Times Sq/Theatre District
3079,East Harlem South,Brooklyn Heights
3084,Boerum Hill,Kensington
3088,Brownsville,Crown Heights North
3094,Fort Greene,South Williamsburg
3099,Clinton Hill,Greenpoint
3100,Greenpoint,East New York/Pennsylvania Avenue
3118,East Harlem South,Hunts Point
3125,Manhattanville,Washington Heights North
3133,Highbridge,East Harlem North
3136,Central Harlem North,Highbridge Park
3138,East Harlem South,JFK Airport
3143,Central Harlem,World Trade Center
3145,Downtown Brooklyn/MetroTech,Battery Park City
3170,Morningside Heights,Union Sq
3176,JFK Airport,South Jamaica
3188,Steinway,Long Island City/Hunters Point
3190,Clinton Hill,Crown Heights North
3191,Jamaica,Ozone Park
3193,Fort Greene,Brownsville
3194,East Harlem North,JFK Airport
3197,Upper East Side North,Yorkville West
3206,DUMBO/Vinegar Hill,Central Park
3212,Central Harlem North,Washington Heights North
3215,Cobble Hill,Kensington
3225,Washington Heights North,Washington Heights North
3226,Washington Heights South,Mount Hope
3231,East Harlem South,Midtown South
3232,Brooklyn Heights,Greenwich Village North
3242,Park Slope,Flatiron
3247,Central Harlem,Fort Greene
3256,East Harlem South,Kingsbridge Heights
3265,Baisley Park,Jamaica
3275,East Harlem South,Kensington
3283,Pelham Parkway,West Concourse
3284,Park Slope,Clinton Hill
3293,Washington Heights South,UN/Turtle Bay South
3299,Boerum Hill,Crown Heights North
3305,East Harlem South,Briarwood/Jamaica Hills
3326,Prospect Heights,SoHo
3327,Boerum Hill,Carroll Gardens
3329,Oakland Gardens,Forest Hills
3334,East Harlem South,Corona
3341,Boerum Hill,Midtown Center
3342,Washington Heights North,Inwood Hill Park
3344,Woodside,Corona
3352,Central Harlem,Lincoln Square West
3353,Clinton Hill,Sunset Park West
3354,Belmont,Norwood
3356,Boerum Hill,Prospect-Lefferts Gardens
3368,Inwood,East Elmhurst
3378,Downtown Brooklyn/MetroTech,Lincoln Square East
3383,East Harlem North,Norwood
3384,Park Slope,East Flatbush/Farragut
3385,Cobble Hill,Bushwick North
3388,East New York,East New York
3389,Long Island City/Queens Plaza,East Harlem South
3400,Elmhurst,East Harlem South
3402,Greenpoint,East Village
3403,West Concourse,Longwood
3404,Longwood,Central Harlem North
3416,Norwood,West Concourse
3420,East Harlem South,Long Island City/Hunters Point
3423,Central Park,JFK Airport
3427,Jamaica,Homecrest
3431,Elmhurst,Flushing
3435,Hunts Point,Longwood
3438,Forest Hills,Steinway
3451,Central Park,Sunnyside
3457,Clinton Hill,Kensington
3466,Kew Gardens,Jackson Heights
3484,Brooklyn Heights,Brighton Beach
3488,Central Park,Yorkville East
3490,Upper East Side North,Lenox Hill West
3499,Washington Heights South,Morningside Heights
3500,Washington Heights South,Greenwich Village North
3503,Williamsburg (North Side),Astoria
3506,Morningside Heights,East Concourse/Concourse Village
3514,Fort Greene,Upper East Side South
3521,Sunnyside,Long Island City/Queens Plaza
3523,Windsor Terrace,Central Harlem
3542,East Harlem South,Ocean Parkway South
3550,Mount Hope,East Concourse/Concourse Village
3551,West Concourse,Upper East Side South
3554,Fort Greene,Coney Island
3559,East Harlem South,Newark Airport
3564,Sunnyside,Queensbridge/Ravenswood
3572,Washington Heights South,Flatiron
3578,Boerum Hill,Erasmus
3580,Central Harlem,East Chelsea
3582,South Ozone Park,Crown Heights North
3583,Kew Gardens,Midtown Center
3584,Manhattanville,East Harlem North
3593,Park Slope,Bedford
3604,Long Island City/Queens Plaza,Two Bridges/Seward Park
3605,Country Club,Country Club
3607,Forest Hills,Midtown Center
3609,Cobble Hill,Lower East Side
3610,DUMBO/Vinegar Hill,Little Italy/NoLiTa
