,pickup_zone,drop_zone
1352,Brooklyn Heights,Carroll Gardens
1353,Central Harlem,Manhattanville
1356,Central Harlem North,Fordham South
1357,Mount Hope,Morrisania/Melrose
1359,Clinton Hill,West Village
1363,East Harlem South,Greenwich Village North
1365,Morningside Heights,East Chelsea
1367,Upper East Side North,UN/Turtle Bay South
1369,East Harlem North,Garment District
1371,Morningside Heights,Midtown North
1372,Washington Heights North,Inwood
1373,Rego Park,Flushing Meadows-Corona Park
1375,Cobble Hill,Columbia Street
1379,Brooklyn Heights,East Village
1388,Coney Island,Gravesend
1397,Central Harlem North,East Chelsea
1404,Forest Hills,Middle Village
1411,Flushing,Jackson Heights
1415,Inwood,Central Harlem
1416,Sheepshead Bay,Manhattan Beach
1417,Astoria,Lenox Hill East
1422,Spuyten Duyvil/Kingsbridge,Pelham Parkway
1427,Washington Heights South,East Harlem North
1430,Central Harlem,Midtown South
1432,Woodside,Roosevelt Island
1433,Williamsbridge/Olinville,Van Cortlandt Village
1435,DUMBO/Vinegar Hill,Williamsburg (North Side)
1437,Brooklyn Heights,Greenpoint
1448,East Harlem South,Crotona Park East
1453,Downtown Brooklyn/MetroTech,Crown Heights North
1456,Park Slope,Upper East Side South
1461,Woodside,Rego Park
1468,Central Park,Upper East Side South
1470,Coney Island,East Williamsburg
1471,Elmhurst,Auburndale
1473,Washington Heights North,Upper West Side South
1476,Washington Heights South,Hamilton Heights
1482,Central Harlem North,South Williamsburg
1489,Brooklyn Heights,Union Sq
1490,Central Park,Central Harlem North
1504,East Concourse/Concourse Village,Highbridge
1510,Brooklyn Heights,Kips Bay
1511,Elmhurst,Long Island City/Hunters Point
1527,Cobble Hill,Park Slope
1528,Cobble Hill,Erasmus
1529,Central Harlem,Claremont/Bathgate
